BCOLOMBIA.CL,1.7526667126428062
BOGOTA.CL,0.31828610465194873
BVC.CL,2.5823927409295933
CELSIA.CL,-0.026173871289292272
CNEC.CL,-0.4577582933818375
CORFICOLCF.CL,0.28197022718088527
ECOPETROL.CL,-0.04579460935754309
ENKA.CL,0.08979833601374998
GEB.CL,1.1993229858940628
GRUBOLIVAR.CL,2.6609334667771223
GRUPOARGOS.CL,-0.33512545381310976
GRUPOAVAL.CL,7.443048312563159
GRUPOSURA.CL,1.2285838162258078
HCOLSEL.CL,0.6780800274153276
ICOLCAP.CL,0.6517430007968037
ISA.CL,2.1026940361828608
MINEROS.CL,6.5811507167656424
NUTRESA.CL,8.1470938745566
PFAVAL.CL,2.3043982170103727
PFBCOLOM.CL,2.28315584699477
PFCORFICOL.CL,0.8448736716618277
PFDAVVNDA.CL,0.6230454843569564
PFGRUPOARG.CL,-0.2674471411892332
PFGRUPSURA.CL,8.562170842670675
PROMIGAS.CL,-0.5894671753585788
TERPEL.CL,-0.24942629408951045
AAPL,0.3249999886034969
BRK-B,0.6686897184170313
CBU7.L,0.26457011149608056
CENCOSUD.SN,1.1988022428633984
CHILE.SN,0.14312005238170733
EIMI.L,0.409817306342418
F,-0.06263515295073596
FALABELLA.SN,0.4966628191673015
GE,-0.1271193154774316
JNJ,2.7767369490507776
LQDA,7.001682869960758
NKE,0.5848307779767916
PFE,1.694862655113615
UBER,1.1836196858269568
